time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.342924619524418e-06,3.7310684809481506e-06,9.999805152355451,0.000961527095488357,0.0005713792211592406,0.0,-0.00013562459726297694,0.00021764927679421612,-0.006494980125412102,-0.012008512250639734,-0.009566955343833006,0.0,402.05866842843426,401.1911027545999,402.30912688990577,401.2205248390954
0.12000000000000001,-2.130152391008729e-05,4.9085475397236e-05,10.00502756467083,0.003564294110664612,6.283176348327958,0.0,-0.00043006809806487873,0.001571626108330128,0.18056328211525124,0.006797281806982148,-0.009942803857485258,0.0,464.31432589881194,464.28489721897415,462.3609934714428,463.83993388892
0.18,-4.6157540009305744e-05,0.00022466652835171472,10.01688311753718,0.007467638907980856,6.283053629406805,0.0,-0.0003812087325878971,0.004661118346805002,0.21461381167960947,-0.014918541866515068,-0.0035072221141982645,0.0,415.9610596164529,416.52426745593766,415.69575086278377,413.7887907155677
0.23999999999999996,-6.497289093706615e-05,0.0006965862644020835,10.036146379458573,0.010654429164367762,6.282867889849328,0.0,-0.00022286051920759976,0.011422516156385319,0.42743595155583647,0.0060460513927149,-0.0026088061907014216,0.0,470.83490835693146,470.9044626759753,471.16331756743745,472.78117341792154
0.3,-9.738004966557622e-05,0.0016125788022313945,10.065642189645763,0.011005381133428749,0.006625161874088015,0.0,-0.0015648727613005657,0.01914865310439879,0.5557017046658476,0.004695804246407797,0.025403078653022715,0.0,444.5801933701974,446.8690506352913,446.33735836796114,446.22706857790246
0.36000000000000004,-0.00036306612662665653,0.00303224343862348,10.105459612287143,0.011989863666450162,0.009469855010996397,0.0,-0.0076157882621357,0.02830182710956382,0.7714207887865094,-0.0057652318341432,0.036848156955476885,0.0,472.1895721710418,473.0717475966608,472.9025941439453,472.0962117931671
0.4200000000000001,-0.0010429298204350718,0.00500795257540523,10.155350808993227,0.0173055558373294,0.014615680784211271,0.0,-0.015606748968146563,0.0381406283892551,0.8915179872852652,-0.033058037181242374,0.016842891337749483,0.0,444.91966608290244,443.279304432274,444.80173635929015,442.561311185963
0.48000000000000015,-0.002297309891932754,0.007659987760877216,10.212644096308589,0.01531397658999012,0.015638737168061745,0.0,-0.02631587341736445,0.050049612172053864,1.0181551848013664,-0.03494286161120699,0.013928780386113759,0.0,446.72293956758153,446.4851883848407,445.7686085737043,445.61412571014927
0.5400000000000001,-0.004152705746626829,0.010927947379392596,10.273574640618767,0.014203667625971583,0.016483125431988377,0.0,-0.03560342516872428,0.0587968509383779,1.0128675999622432,-0.04708802485227295,0.014303375394064377,0.0,402.6916762189385,402.72546684781634,404.30660655618954,403.21006791904665
0.6000000000000002,-0.006662671520264267,0.0147678509748496,10.339128671702362,0.012812987471194859,0.017433107744823317,0.0,-0.04816233292217743,0.06903035709031086,1.1721170331267223,-0.03511279830484532,0.016632316350485236,0.0,455.7934505657935,455.97940929873175,456.4506499002605,457.4042289077878
0.6600000000000003,-0.009941947925451741,0.019181839431095766,10.413579306931464,0.011006988015026309,0.020045152384776443,0.0,-0.061411473367173494,0.07791417708069452,1.3094203475414277,-0.042439383074876845,0.029401238033754322,0.0,448.509941417923,449.5456885708231,451.28882846386495,450.6964727394008
0.7200000000000003,-0.014168989844741381,0.024117134741872326,10.499221140165954,0.008449948658436846,0.030677011158324774,0.0,-0.08074318708679991,0.08628093361580257,1.544991874381453,-0.04324038818412793,0.06084417158019791,0.0,477.59383045446685,479.98654979046205,480.71203600386247,480.65048997634113
0.7800000000000004,-0.01981885688349471,0.029493281120956522,10.599088688628832,0.0063162728834376125,0.040522781994202894,0.0,-0.10874907722050081,0.09265152836969222,1.783545993004775,-0.03690865687926694,0.0869357920102983,0.0,480.4617556311527,482.43900354052926,480.86269468597385,481.3413054371676
0.8400000000000004,-0.0273907790207049,0.03519390720414851,10.712348253377037,0.004302264852406701,0.05742528584024331,0.0,-0.14567309216543356,0.0971244786187654,1.991337945378148,-0.03305890391130872,0.04826797502365544,0.0,474.21472726330995,471.2393671561794,473.39814702429544,473.69378687317277
0.9000000000000005,-0.03742633844741038,0.041119495278131385,10.836433938110329,0.004657670433519279,0.06094698968325307,0.0,-0.18922756757494433,0.10045262927775009,2.144548425852317,-0.05105533409953017,0.03832040898825378,0.0,457.69405127675105,456.9028189990136,458.7387508434163,457.30683335676076
0.9600000000000005,-0.050248838025808006,0.04728776428471384,10.971342111073342,0.010913890192361997,0.06339120315298619,0.0,-0.23844909025997926,0.10593302273804249,2.351957288745726,-0.08571889924157534,0.04146061601804465,0.0,475.0099790278011,475.2513861390412,475.22280109346553,472.55577158958005
1.0200000000000005,-0.06574907784929447,0.053829281973777364,11.113452999180188,0.0057828542074123135,0.06591362212175866,0.0,-0.27845768986728403,0.11164312987316682,2.384987902479765,-0.08521854143610949,0.0378909364105411,0.0,421.3577269466155,421.04995479792603,420.9733414983376,421.0101647344948
1.0800000000000005,-0.08377998791550718,0.06062823850707222,11.25876439031892,0.0021330417744840346,0.06908417119320909,0.0,-0.3228654194143287,0.11461759586214611,2.4585444711176008,-0.07311351558723343,0.047135412769257784,0.0,433.68611081557634,434.4628049843169,434.44853482316546,435.4567943342338
1.1400000000000006,-0.10469276426428066,0.06753675341438362,11.410658601464709,6.281476727985277,0.07285211302015249,0.0,-0.37460559295563145,0.11525779336203784,2.604238613136241,-0.08249101867605657,0.05662244556546893,0.0,457.3072039735743,458.06377194317906,457.6803438621517,456.92897872218515
